kencocustomerid	kencocustomer	warehouseid	warehouse	warehousename	warehousecity	sitename	ordernumber	orderlineid	sublineid	shipmentid	shipmentlineid	shiptocustomernumber	shiptocustomername	shiptocustomeraddress1	shiptocustomeraddress2	shiptocustomercity	shiptocustomerstate	shiptocustomerzip	shipmentstatuscode	shipmentstatusdesc	shipmentstatusdescoriginal	productnumber	productdescription	productfamilydesc	carriercode	carriername	shipdate	expectedshipdate	orderentrydate
17	JDA-ING	96	126	Ingredion Incorporated	Shorewood	Ingredion	91159262	900001	0	9115926201	SLN00084K1	112070							R	READY	Ready	020010-203	Cerelose Dextrose  2000lb 205 37x37x50	Sugar Dry	CUPU	Cupu-Customer Pickup		6/18/2025	6/13/2025 14:09
17	JDA-ING	96	126	Ingredion Incorporated	Shorewood	Ingredion	91159262	900002	0	9115926201	SLN00084K2	112070							R	READY	Ready	020010-203	Cerelose Dextrose  2000lb 205 37x37x50	Sugar Dry	CUPU	Cupu-Customer Pickup		6/18/2025	6/13/2025 14:09
17	JDA-ING	96	126	Ingredion Incorporated	Shorewood	Ingredion	91154481	900004	0	9115448101	SLN00084JE	136236	D&S Warehouse	104 Alan Drive		Newark	NJ	19711-8027	S	STAGED	Staged	025020-154	Cerelose Anhydrous Dextrose Usp 25kg	Sugar Dry	CUPU	Cupu-Customer Pickup		6/16/2025	6/13/2025 11:00
17	JDA-ING	96	126	Ingredion Incorporated	Shorewood	Ingredion	91161368	900001	0	9116136801	SLN00084LE	147700							R	READY	Ready	02401090CI	Cerelose Anhy Dextrose M Non-Gmo Ip 25kg	Dextrose & Other	CUPU	Cupu-Customer Pickup		6/20/2025	6/16/2025 11:09
17	JDA-ING	96	126	Ingredion Incorporated	Shorewood	Ingredion	91163819	900002	0	9116381901	SLN00084QB	119564	Pennant Ingredients Inc	64 Chester St		Rochester	NY	14611-2110	R	READY	Ready	020010-102	Cerelose Dextrose  50lb	Sugar Dry	UNKN	Unkn-Unknown Carrier		6/23/2025	6/18/2025 2:09
17	JDA-ING	96	126	Ingredion Incorporated	Shorewood	Ingredion	91163819	900001	0	9116381901	SLN00084QA	119564	Pennant Ingredients Inc	64 Chester St		Rochester	NY	14611-2110	R	READY	Ready	020010-102	Cerelose Dextrose  50lb	Sugar Dry	UNKN	Unkn-Unknown Carrier		6/23/2025	6/18/2025 2:09
17	JDA-ING	272	286	Ingredion Incorporated	Pittston	Ingredion	91162689	900001	0	9116268901	SLN00084PS	112513	American Sugar Refining (Baltimore)	1100 E Key Hwy		Baltimore	MD	21230-5123	S	STAGED	Staged	10020091HK	GlobeÂ® 10 De Maltodextrin Non Gmo Ip		UNKN	Unkn-Unknown Carrier		6/20/2025	6/17/2025 16:24
17	JDA-ING	272	286	Ingredion Incorporated	Pittston	Ingredion	91162689	900002	0	9116268901	SLN00084PT	112513	American Sugar Refining (Baltimore)	1100 E Key Hwy		Baltimore	MD	21230-5123	S	STAGED	Staged	10020091HK	GlobeÂ® 10 De Maltodextrin Non Gmo Ip		UNKN	Unkn-Unknown Carrier		6/20/2025	6/17/2025 16:24
17	JDA-ING	272	286	Ingredion Incorporated	Pittston	Ingredion	91163568	900002	0	9116356801	SLN00084SM	120667	Caravan Ingredients	700 Union Boulevard		Totowa	NJ	7512	R	READY	Ready	06820302CA	National FrigexÂ®	Starch Dry	ARVY	Arrive		6/24/2025	6/18/2025 14:36
17	JDA-ING	272	286	Ingredion Incorporated	Pittston	Ingredion	91163568	900004	0	9116356801	SLN00084SN	120667	Caravan Ingredients	700 Union Boulevard		Totowa	NJ	7512	R	READY	Ready	06820302CA	National FrigexÂ®	Starch Dry	ARVY	Arrive		6/24/2025	6/18/2025 14:36
16	JDA-IB	281	2110	Interstate Batteries  - Dallas	Desoto	Interstate Battery	8000754347	10	0	1355250001	SLN000ONZQ	ICBP4464	Ibs Metro Austin	5810 Burleson Rd		Austin	TX	78744-1323	I	IN-PROCESS	In-Process	2E+11	40-51r At Ul Ul	Automotive	HJCS	Jb Hunt Transport - Dedicated		6/19/2025	6/17/2025 14:37
16	JDA-IB	281	2110	Interstate Batteries  - Dallas	Desoto	Interstate Battery	8000754347	70	0	1355250001	SLN000ONZW	ICBP4464	Ibs Metro Austin	5810 Burleson Rd		Austin	TX	78744-1323	I	IN-PROCESS	In-Process	1E+11	Ib9-B Ps Ibl M	Powersports	HJCS	Jb Hunt Transport - Dedicated		6/19/2025	6/17/2025 14:37
16	JDA-IB	281	2110	Interstate Batteries  - Dallas	Desoto	Interstate Battery	8000754347	30	0	1355250001	SLN000ONZS	ICBP4464	Ibs Metro Austin	5810 Burleson Rd		Austin	TX	78744-1323	I	IN-PROCESS	In-Process	2E+11	65-H6r At Ul Ul	Automotive	HJCS	Jb Hunt Transport - Dedicated		6/19/2025	6/17/2025 14:37
16	JDA-IB	281	2110	Interstate Batteries  - Dallas	Desoto	Interstate Battery	8000754347	50	0	1355250001	SLN000ONZU	ICBP4464	Ibs Metro Austin	5810 Burleson Rd		Austin	TX	78744-1323	I	IN-PROCESS	In-Process	2E+11	H6-70 At Ul Ul	Automotive	HJCS	Jb Hunt Transport - Dedicated		6/19/2025	6/17/2025 14:37
16	JDA-IB	281	2110	Interstate Batteries  - Dallas	Desoto	Interstate Battery	8000754347	20	0	1355250001	SLN000ONZR	ICBP4464	Ibs Metro Austin	5810 Burleson Rd		Austin	TX	78744-1323	I	IN-PROCESS	In-Process	2E+11	65-H6a At Ul Ul	Automotive	HJCS	Jb Hunt Transport - Dedicated		6/19/2025	6/17/2025 14:37
